Название вакансии,URL,Название компании,Описание
Python- разработчик,https://voronezh.hh.ru/vacancy/33956135?query=Python,ООО Кузница Кадров,"Разработка алгоритмов подготовки, преобразования и верификации данных товарной номенклатуры из различных источников, а также автоматическая рубрикация и кластеризация описаний товаров... Опыт разработки на языке python от двух лет. Законченное высшее техническое образование. Хорошую математическую подготовку, знание математической статистики. "
Python разработчик,https://voronezh.hh.ru/vacancy/34259347?query=Python,ООО АТРАКС ТРЕЙД,"Меня зовут Катерина, я руковожу разработкой, ставлю задачи. Живу в Казани. Использование git должно быть естественным. Опыт Python/Django от трех лет. Хорошее понимание реляционных субд (у нас PostrgeSQL). "
Python разработчик,https://voronezh.hh.ru/vacancy/34259348?query=Python,ООО АТРАКС ТРЕЙД,"Меня зовут Катерина, я руковожу разработкой, ставлю задачи. Живу в Казани. Использование git должно быть естественным. Опыт Python/Django от трех лет. Хорошее понимание реляционных субд (у нас PostrgeSQL). "
Senior QA Engineer (мануальное тестирование),https://voronezh.hh.ru/vacancy/34327098?query=Python,ООО СофтПро,"Работать в фича команде. Обсуждать требования с аналитиками, дизайнерами и разработчиками. Разрабатывать тест-планы и тест-кейсы. Тестировать ключевые бизнес... Опыт работы тестировщиком на коммерческих проектах не менее 4-х лет (строго не только в банковской сфере). Опыт web/API..."
Python Web Developer,https://voronezh.hh.ru/vacancy/33895741?query=Python, Soshace,"Safety with regular payments and reliable clients. We use time-tracker to get information on your working hours.  Company that makes remote dev work easy"". 3+ years of professional software development experience with JavaScript. 1+ year..."
Machine Learning Engineer Senior,https://voronezh.hh.ru/vacancy/34309176?query=Python, EFSOL,Создания центра компетенций по machine learning и data science. Создание инструмента для самостоятельного обучения моделей для бизнеса. Перевод задач бизнеса... Опыт разработки в области машинного обучения от 3 лет (Python). Знание базовых алгоритмов и структур данных. Промышленный опыт в Machine...
Junior Python Developer,https://voronezh.hh.ru/vacancy/34298708?query=Python,ООО КЭШОФФ,"Разработка и поддержка парсеров. Участие в проектной деятельности, связанной с импортом данных. Знание основ Python. Знание основных принципов и механизмов работы SQL. Опыт применения систем контроля версия (git). Умение работать с готовым..."
Инженер-программист (Python),https://voronezh.hh.ru/vacancy/34191366?query=Python, ЭР-Телеком,Разработка ПО для внутренних нужд организации. 1. Опыт коммерческой разработки на python можно - минимальный. 2. Навыки работы с Linux. 3. Знание SQL(MySql). 4. 
Junior Python Developer (Django),https://voronezh.hh.ru/vacancy/33963469?query=Python, Акрибия,Проектирование и разработка нестандартных распределённых веб-приложений. Проектирование и реализация REST API. Построение связей между различными сервисами. Взаимодействие с тестовым... Опыт работы с Python/Django от 1 года. Опыт работы с REST API. Опыт работы в операционных системах семейства Linux. 
Разработчик Python,https://voronezh.hh.ru/vacancy/33549408?query=Python,ООО Центр недвижимости от Сбербанка,"...Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для мобильных и веб-приложений на Python.  Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
DevOps инженер,https://voronezh.hh.ru/vacancy/34319011?query=Python, MrBot,"Повысить эффективность, качество и предсказуемость доставки существующих приложений. Предложить более эффективную, качественную и предсказуемую систему доставки для новых сервисов.  Организовать безотказную работоспособность сервисов. Знание скриптовых языков: python, bash (или др). Знание систем управления конфигурациями: ansible (или др)."
Python разработчик,https://voronezh.hh.ru/vacancy/33369729?query=Python, RU-CENTER Group,"Сбор и анализ потребления ресурсов клиентами - более двух млн. данных в минуту. Анализ клиентских файлов на наличие уязвимостей.  Наши пожелания к опыту: Опыт разработки на Python, а еще Django и Django REST framework. Опыт разработки юнит-тестов. "
Data Scientist,https://voronezh.hh.ru/vacancy/34139725?query=Python, GFAIVE,"Find, conceptualize and execute optimal ML based solutions to solve business cases for retail clients. Manage, coordinate, prioritize project tasks... Working knowledge Python, ability to work with large databases. Experience working in Agile environment with rapid prototyping and iterative approach..."
Разработчик Python,https://voronezh.hh.ru/vacancy/34321130?query=Python, Сбер Решения,"Разработка, отладка и оптимизация существующих программ. Проектирование и реализация программных систем. Анализ и решение сложных технических проблем. Знание Python и опыт разработки на нем от 2 лет. Желательно знание базовых структур данных и операций над ними. "
